data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,mes,dia_semana
2023-07-21,0,0,0.0,1183.9153846153847,18.445833333333333,23.8,14.3,11.7125,66.58333333333333,12.4,4.391666666666667,0.0,0.0,0.0,21.15357142857143,7,4
2023-07-22,0,0,0.0,887.2666666666665,18.079166666666666,24.1,14.7,11.933333333333332,69.0,8.7,3.395833333333333,0.0,0.0,0.0,20.986904761904757,7,5
2023-07-23,0,0,0.0,1558.7166666666665,19.254166666666663,25.1,14.4,9.470833333333331,54.5,8.9,3.0625,0.0,0.0,0.0,20.72738095238095,7,6
2023-07-24,1,1,0.0,1683.625,19.054166666666667,25.4,13.2,11.316666666666668,62.083333333333336,8.3,2.7125,0.0,0.0,0.0,20.36488095238095,7,0
2023-07-25,0,0,0.0,1396.0666666666666,20.4125,25.6,16.8,10.8625,57.5,8.5,2.8375,1.0,1.0,0.0,19.919642857142858,7,1
2023-07-26,4,1,0.0,1648.1666666666667,20.591666666666665,26.6,13.0,6.433333333333334,42.208333333333336,6.9,2.0416666666666665,1.0,1.0,0.0,19.65654761904762,7,2
2023-07-27,0,0,0.0,1594.0166666666669,19.4375,27.0,11.3,5.954166666666667,43.333333333333336,6.9,1.8666666666666665,5.0,5.0,0.0,19.42083333333333,7,3
2023-07-28,0,0,0.0,1474.8583333333331,20.633333333333333,27.4,14.2,9.9,52.25,7.0,1.7708333333333333,4.0,5.0,0.0,19.325,7,4
2023-07-29,0,0,0.0,1481.6166666666668,20.275,27.5,13.4,9.758333333333333,54.125,6.5,1.4958333333333331,4.0,5.0,0.0,19.6375,7,5
2023-07-30,2,1,0.0,1480.3083333333334,20.570833333333333,27.3,13.7,9.729166666666666,52.16666666666666,7.2,1.8708333333333331,0.0,5.0,0.0,19.951190476190476,7,6
2023-07-31,0,0,0.0,1596.475,21.10833333333333,27.4,14.6,9.954166666666667,51.41666666666666,8.4,2.470833333333333,2.0,7.0,0.0,20.139285714285712,7,0
2023-08-01,0,0,0.0,1669.0583333333334,21.354166666666668,27.1,14.6,9.666666666666666,49.54166666666666,7.8,2.433333333333333,2.0,6.0,0.0,20.432738095238097,8,1
2023-08-02,2,1,0.0,1686.3,20.695833333333333,26.5,13.3,8.608333333333333,48.375,8.0,2.325,2.0,6.0,0.0,20.567261904761903,8,2
2023-08-03,0,0,0.0,1691.15,20.0,28.4,11.5,6.333333333333333,44.91666666666666,6.1,1.4791666666666667,2.0,4.0,0.0,20.582142857142856,8,3
2023-08-04,1,1,0.0,1658.375,20.29583333333333,28.8,12.1,5.391666666666667,41.375,5.4,1.4708333333333332,2.0,4.0,0.0,20.662499999999998,8,4
2023-08-05,3,1,0.0,1677.1583333333335,21.0,29.0,12.9,5.958333333333333,40.083333333333336,10.8,1.741666666666667,3.0,5.0,0.0,20.61428571428571,8,5
2023-08-06,1,1,0.0,1728.375,22.59583333333333,28.9,13.7,4.6375,33.375,8.5,2.733333333333333,4.0,8.0,0.0,20.717857142857145,8,6
2023-08-07,6,1,0.0,1699.3333333333333,22.20833333333333,29.2,17.3,3.8375,31.125,7.8,2.1625,5.0,7.0,0.0,21.007142857142856,8,0
2023-08-08,2,1,0.0,1713.4166666666667,21.53333333333333,29.9,13.3,4.945833333333334,37.91666666666666,8.7,2.091666666666667,10.0,13.0,0.0,21.164285714285715,8,1
2023-08-09,1,1,0.0,1702.5083333333332,21.34166666666667,28.6,13.9,8.358333333333333,44.583333333333336,9.2,2.595833333333333,9.0,15.0,0.0,21.18988095238095,8,2
2023-08-10,0,0,0.0,1698.0583333333334,22.40416666666667,28.8,16.9,9.533333333333331,45.375,7.0,2.7291666666666665,9.0,14.0,0.0,21.282142857142855,8,3
2023-08-11,0,0,0.0,1520.6307692307694,22.804166666666664,29.2,15.6,8.783333333333333,43.25,7.1,2.3875,3.0,14.0,0.0,21.625595238095237,8,4
2023-08-12,1,1,0.0,1574.1750000000002,21.75,29.6,13.2,7.620833333333334,43.833333333333336,8.1,2.191666666666667,1.0,13.0,0.0,21.98392857142857,8,5
2023-08-13,0,0,0.0,1657.375,21.71666666666667,28.4,14.4,8.058333333333334,43.75,9.1,2.2125,1.0,11.0,0.0,22.09107142857143,8,6
2023-08-14,1,1,0.0,1495.55,21.58333333333333,27.2,16.0,8.295833333333333,43.25,11.7,3.208333333333333,1.0,10.0,0.0,21.96547619047619,8,0
2023-08-15,0,0,0.0,1484.0583333333334,20.620833333333334,25.2,16.7,7.954166666666667,44.958333333333336,10.7,3.525,2.0,5.0,0.0,21.876190476190477,8,1
2023-08-16,0,0,0.0,1300.5384615384614,19.825,25.2,15.6,8.549999999999999,48.79166666666666,11.2,3.341666666666667,1.0,3.0,0.0,21.745833333333334,8,2
2023-08-17,0,0,0.0,1469.5666666666666,19.9625,25.3,14.9,9.958333333333334,53.75,9.3,2.9,1.0,2.0,0.0,21.529166666666665,8,3
2023-08-18,0,0,0.0,1558.7166666666665,21.89583333333333,29.2,15.7,8.941666666666666,45.29166666666666,6.9,1.8708333333333331,0.0,2.0,0.0,21.18035714285714,8,4
2023-08-19,0,0,0.0,1041.1307692307694,22.370833333333334,30.0,16.1,9.7625,46.625,9.6,1.9833333333333332,0.0,2.0,0.0,21.050595238095237,8,5
2023-08-20,0,0,0.0,1657.6833333333334,22.066666666666663,30.8,13.5,10.1,50.333333333333336,12.0,2.2625,0.0,1.0,0.0,21.139285714285712,8,6
2023-08-21,0,0,0.0,1724.1,20.558333333333334,29.5,13.7,10.2875,56.16666666666666,10.5,2.5434782608695654,0.0,1.0,0.0,21.189285714285713,8,0
2023-08-22,0,0,0.0,1108.3166666666666,22.863636363636363,30.5,14.7,8.813636363636364,45.22727272727273,6.2,1.6833333333333331,0.0,0.0,0.0,21.04285714285714,8,1
2023-08-23,3,1,0.0,1583.9083333333335,24.004166666666663,32.3,14.8,4.416666666666667,29.625,6.5,1.7625,0.0,0.0,0.0,21.363257575757576,8,2
2023-08-24,0,0,0.0,792.9083333333333,23.59583333333333,30.2,18.1,10.504166666666666,44.66666666666666,7.1,1.7291666666666667,3.0,3.0,0.0,21.960281385281384,8,3
2023-08-25,0,0,0.0,1347.2833333333333,24.2625,30.1,18.8,13.795833333333334,53.625,9.3,2.066666666666667,3.0,3.0,0.0,22.479329004329003,8,4
2023-08-26,0,0,4.6,1182.3,22.72083333333333,30.0,18.3,16.416666666666668,70.16666666666667,10.3,1.8375,3.0,3.0,0.0,22.81742424242424,8,5
2023-08-27,0,0,0.4,1201.5083333333334,22.245833333333334,29.1,18.3,16.116666666666667,69.95833333333333,8.6,1.7625,0.0,3.0,4.600000000000028,22.867424242424242,8,6
2023-08-28,0,0,7.800000000000001,747.7230769230769,20.6375,24.7,18.2,17.670833333333334,83.625,5.5,1.5916666666666668,0.0,3.0,5.000000000000028,22.89301948051948,8,0
2023-08-29,0,0,0.0,1114.7307692307693,22.054166666666664,28.5,18.8,17.458333333333332,76.625,7.4,1.8541666666666667,0.0,3.0,12.80000000000003,22.904329004329004,8,1
2023-08-30,0,0,8.2,1035.1,21.254166666666663,26.5,17.8,16.716666666666665,76.79166666666667,8.0,2.2416666666666667,0.0,3.0,12.80000000000003,22.788690476190474,8,2
2023-08-31,0,0,16.6,1581.4769230769232,22.554166666666664,30.9,16.4,15.0875,67.5,9.9,1.3958333333333333,0.0,0.0,21.00000000000003,22.395833333333332,8,3
2023-09-01,0,0,20.8,1609.6230769230772,22.3375,29.6,17.8,15.9375,70.08333333333333,8.5,2.25,0.0,0.0,37.60000000000003,22.247023809523807,9,4
2023-09-02,0,0,1.8,1462.6153846153843,23.166666666666668,29.4,18.1,16.258333333333333,67.45833333333333,9.7,2.2416666666666667,0.0,0.0,58.400000000000034,21.972023809523808,9,5
2023-09-03,3,1,0.0,1781.6,24.125,30.4,19.1,14.816666666666668,58.75,7.5,2.020833333333333,0.0,0.0,55.60000000000003,22.035714285714285,9,6
2023-09-04,0,0,0.0,1458.353846153846,24.29583333333333,31.1,17.6,13.279166666666669,52.875,6.1,1.2833333333333334,3.0,3.0,55.20000000000003,22.304166666666667,9,0
