data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,humidade_7d,mes,dia_semana
2008-02-11,0,0,0.0,1906.7384615384613,23.375,29.0,18.6,16.895833333333332,68.5,8.3,1.9333333333333331,0.0,0.0,31.20000000000001,21.189880952380953,78.13095238095238,2,0
2008-02-12,0,0,0.0,2175.4307692307693,22.9125,29.3,17.4,16.758333333333333,70.125,9.4,2.3833333333333333,0.0,0.0,31.20000000000001,21.511904761904763,76.47619047619047,2,1
2008-02-13,0,0,0.0,1957.4692307692308,23.616666666666664,29.0,17.5,16.004166666666666,63.75,8.3,2.0875,0.0,0.0,22.60000000000001,21.879761904761903,74.19642857142857,2,2
2008-02-14,0,0,0.4,1865.3615384615384,22.3875,27.6,17.2,16.25,69.29166666666667,8.0,2.2583333333333333,0.0,0.0,12.600000000000007,22.495238095238097,70.64285714285714,2,3
2008-02-15,0,0,3.0,1533.0,21.4625,26.3,18.7,16.558333333333334,74.54166666666667,8.4,2.6083333333333334,0.0,0.0,0.4000000000000071,22.875595238095237,68.20833333333333,2,4
2008-02-16,0,0,7.8,1843.1,21.104166666666668,27.1,16.1,15.8625,74.58333333333333,9.1,2.325,0.0,0.0,3.400000000000007,22.917857142857144,67.63690476190477,2,5
2008-02-17,0,0,2.2,1539.4846153846154,21.625,26.2,18.0,16.704166666666666,74.45833333333333,8.6,2.1125000000000003,0.0,0.0,11.200000000000006,22.668452380952377,68.6547619047619,2,6
2008-02-18,0,0,1.2,815.4230769230769,20.1625,25.7,18.2,16.787499999999998,81.45833333333333,8.0,1.2208333333333334,0.0,0.0,13.400000000000007,22.354761904761904,70.75,2,0
2008-02-19,0,0,2.6,1197.9153846153845,19.504166666666663,25.4,17.0,16.212500000000002,82.375,6.1,1.5458333333333334,0.0,0.0,14.600000000000007,21.895833333333332,72.60119047619047,2,1
2008-02-20,0,0,0.8,1647.2076923076925,21.825,28.5,18.2,17.05,76.95833333333333,7.4,1.5208333333333333,0.0,0.0,17.200000000000006,21.40892857142857,74.35119047619048,2,2
2008-02-21,0,0,75.39999999999999,652.47,18.46,22.8,16.1,16.475,88.85,8.1,1.835,0.0,0.0,18.000000000000007,21.15297619047619,76.23809523809523,2,3
2008-02-22,0,0,0.2,1224.5230769230768,20.97083333333333,27.3,17.6,17.375,81.20833333333333,12.4,0.875,0.0,0.0,93.0,20.591904761904765,79.03214285714284,2,4
2008-02-23,0,0,2.0,813.123076923077,20.604166666666668,26.2,17.3,17.7,83.91666666666667,6.5,0.9875,0.0,0.0,90.2,20.52166666666667,79.98452380952381,2,5
2008-02-24,0,0,0.0,872.4846153846154,20.875,26.5,18.1,17.979166666666668,84.375,5.6,0.8624999999999999,0.0,0.0,84.4,20.450238095238095,81.31785714285714,2,6
2008-02-25,0,0,18.8,1440.4833333333331,20.916666666666668,26.5,17.4,17.454166666666666,81.75,9.6,1.5583333333333331,0.0,0.0,82.2,20.343095238095238,82.73452380952381,2,0
2008-02-26,0,0,1.6,1424.569230769231,20.854166666666668,26.4,17.2,17.454166666666666,82.04166666666667,8.6,2.591666666666667,0.0,0.0,99.8,20.450833333333332,82.77619047619048,2,1
2008-02-27,0,0,19.0,1413.423076923077,21.0,27.9,18.4,17.979166666666668,84.125,8.2,2.1708333333333334,0.0,0.0,98.8,20.643690476190475,82.72857142857143,2,2
2008-02-28,0,0,44.4,1175.784615384615,20.179166666666667,24.7,17.6,17.879166666666666,87.33333333333333,6.7,1.6458333333333333,0.0,0.0,117.0,20.525833333333335,83.75238095238095,2,3
2008-02-29,0,0,14.6,834.0615384615384,19.879166666666663,24.4,18.6,18.254166666666663,90.54166666666669,7.8,2.033333333333333,0.0,0.0,86.00000000000001,20.771428571428572,83.53571428571429,2,4
2008-03-01,0,0,23.2,838.8076923076923,19.416666666666668,23.3,18.4,17.9875,91.58333333333331,12.5,3.1666666666666665,0.0,0.0,100.4,20.61547619047619,84.86904761904762,3,5
2008-03-02,0,0,5.2,1101.546153846154,20.04583333333333,24.9,18.0,17.900000000000002,88.125,7.2,2.5,0.0,0.0,121.60000000000001,20.445833333333333,85.96428571428571,3,6
2008-03-03,0,0,21.4,914.2307692307692,19.579166666666666,23.4,18.0,17.816666666666666,89.79166666666667,7.3,1.975,0.0,0.0,126.80000000000001,20.327380952380953,86.5,3,0
2008-03-04,0,0,6.6,1337.8769230769233,20.65,26.4,17.4,16.945833333333333,80.66666666666667,9.1,3.1333333333333333,0.0,0.0,129.4,20.136309523809523,87.64880952380952,3,1
2008-03-05,0,0,1.6,1349.5153846153846,21.53333333333333,28.1,17.9,17.308333333333334,78.25,7.5,1.1875,0.0,0.0,134.4,20.107142857142858,87.45238095238096,3,2
2008-03-06,0,0,11.2,1263.776923076923,21.29583333333333,26.6,18.6,18.008333333333333,82.75,7.0,1.4583333333333333,0.0,0.0,117.00000000000001,20.183333333333334,86.61309523809526,3,3
2008-03-07,0,0,17.2,1565.425,19.98333333333333,25.7,17.2,17.02777777777778,84.5,7.8,1.7166666666666666,0.0,0.0,83.80000000000001,20.342857142857138,85.95833333333334,3,4
2008-03-08,0,0,0.0,,19.0,19.1,19.0,17.4,90.0,5.2,3.4,0.0,0.0,86.4,20.357738095238094,85.09523809523809,3,5
2008-03-09,0,0,0.0,,18.7,18.7,18.5,17.9,95.0,1.5,0.2,0.0,0.0,63.20000000000001,20.298214285714284,84.86904761904762,3,6
