Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,humidade_media,vento_rajada_max,vento_vel_media
2025-03-13,14.0,1294.1692307692308,22.77916666666667,30.2,19.6,77.95833333333333,7.7,1.8458333333333332
2025-03-14,38.4,1806.646153846154,23.258333333333336,30.9,17.5,74.875,9.4,1.8208333333333335
2025-03-15,20.0,1860.9,23.400000000000002,30.0,18.7,77.875,7.1,1.8333333333333333
2025-03-16,0.0,1928.1615384615384,24.59166666666667,30.3,20.2,68.95833333333333,8.5,1.8791666666666667
2025-03-17,0.0,2058.153846153846,23.791666666666668,30.1,18.5,65.54166666666667,6.9,1.3666666666666665
2025-03-18,0.0,1895.246153846154,23.8875,30.1,19.4,66.58333333333333,9.1,1.6166666666666665
2025-03-19,0.0,1713.2692307692307,23.5,30.1,19.1,70.54166666666667,6.5,1.6541666666666668
2025-03-20,28.0,1646.9538461538464,22.625,29.1,17.8,75.16666666666667,8.3,1.8333333333333333
2025-03-21,0.0,1219.7083333333333,21.59565217391304,26.0,17.6,77.43478260869566,7.9,2.073913043478261
2025-03-22,10.2,1134.5,21.775000000000002,27.0,18.0,82.0,7.9,2.1666666666666665
2025-03-23,2.4000000000000004,906.2153846153846,21.2625,25.0,18.2,85.25,6.7,1.4041666666666668
2025-03-24,0.2,1230.0153846153846,21.141666666666666,28.1,18.4,84.83333333333333,7.7,1.3541666666666667
2025-03-25,0.4,1482.4769230769232,21.962500000000002,28.5,18.1,81.375,6.8,1.1875
2025-03-26,0.4,866.4923076923077,21.474999999999998,27.1,19.0,85.04166666666667,7.9,1.2874999999999999
2025-03-27,6.6000000000000005,1254.246153846154,21.59583333333333,27.9,18.7,86.125,10.1,1.45
2025-03-28,0.0,1467.0153846153846,21.90416666666667,28.1,17.2,83.20833333333333,8.6,1.4458333333333335
2025-03-29,0.0,1712.9538461538464,22.900000000000002,28.9,18.0,76.16666666666667,6.9,1.8166666666666667
2025-03-30,0.0,1840.2846153846153,23.912499999999998,28.9,17.7,66.20833333333333,7.8,2.2083333333333335
2025-03-31,0.0,1733.6230769230767,23.629166666666666,29.0,17.0,66.91666666666667,6.7,1.8499999999999999
2025-04-01,0.0,1909.8923076923077,24.083333333333332,29.5,17.8,65.70833333333333,7.4,2.4250000000000003
2025-04-02,0.0,1878.5153846153846,23.95,29.1,17.7,63.541666666666664,9.1,2.3874999999999997
2025-04-03,0.0,1904.0076923076922,23.945833333333336,29.5,17.1,63.833333333333336,6.8,1.9666666666666668
2025-04-04,0.4,1270.0615384615385,23.191666666666666,28.1,18.9,70.375,7.7,1.8499999999999999
2025-04-05,0.8,1354.6999999999998,22.433333333333334,28.3,19.1,79.83333333333333,7.4,2.3291666666666666
2025-04-06,0.0,1625.8461538461538,22.28333333333333,27.2,18.8,73.875,10.3,3.4
2025-04-07,0.0,1269.5307692307692,20.64166666666667,24.4,17.8,79.54166666666667,10.5,3.529166666666667
2025-04-08,0.0,1136.6,20.941666666666666,26.7,17.4,78.25,8.0,2.4166666666666665
2025-04-09,6.8,1300.875,21.979166666666668,27.7,17.8,78.29166666666667,6.7,1.4833333333333334
2025-04-10,11.2,993.4692307692308,20.979166666666668,26.8,18.4,87.45833333333333,5.7,1.4541666666666666
2025-04-11,0.2,1816.2416666666668,22.375,28.4,17.3,77.75,7.3,1.8499999999999999
2025-04-12,4.0,1686.8500000000001,22.745833333333334,28.3,19.3,77.0,9.0,1.6958333333333335
2025-04-13,0.0,1337.8500000000001,22.816666666666666,27.4,19.1,74.45833333333333,6.8,1.7166666666666668
2025-04-14,34.6,1191.0083333333334,21.208333333333332,27.1,18.6,85.25,9.0,1.7541666666666667
2025-04-15,1.6,1231.1916666666666,21.078260869565216,27.2,18.4,87.78260869565217,7.2,1.8391304347826085
2025-04-16,0.0,1342.4833333333333,21.541666666666668,27.1,18.1,82.54166666666667,9.0,2.095833333333333
2025-04-17,2.0,1111.0461538461539,21.933333333333334,27.8,18.6,83.83333333333333,6.1,1.3
2025-04-18,2.5999999999999996,1021.6153846153846,21.083333333333332,27.3,18.1,87.41666666666667,10.0,1.575
2025-04-19,6.8,1634.05,21.633333333333336,27.6,17.4,82.125,8.8,1.7874999999999999
2025-04-20,0.0,1295.9916666666666,22.425,28.4,19.4,79.41666666666667,6.2,1.5125
2025-04-21,0.0,1705.875,22.495833333333334,28.5,17.6,77.29166666666667,5.5,1.2083333333333333
2025-04-22,0.2,1395.4250000000002,21.90833333333333,27.8,17.8,81.16666666666667,10.2,1.55
2025-04-23,0.0,1600.325,22.545833333333334,27.8,18.4,79.33333333333333,7.4,1.6833333333333333
2025-04-24,0.0,1474.3666666666668,22.916666666666668,27.3,19.0,74.66666666666667,6.2,2.0124999999999997
2025-04-25,1.2,1247.2833333333333,21.933333333333334,28.0,18.1,83.75,7.6,1.4333333333333333
2025-04-26,0.2,1231.4083333333333,22.037499999999998,27.9,17.5,80.79166666666667,7.3,1.0875000000000001
2025-04-27,4.6,1274.5,21.516666666666666,27.7,18.8,86.20833333333333,7.7,1.6333333333333335
